id_produk,nama_produk,review,id_user,nama_akun,rating_user,ulasan_produk,waktu_review,varian_produk
PI0104,Fantech Gaming Mouse X9 THOR Standart Macro,9,UI0060,Muhammad,5,mouse nya mantap murah tp ga murahan..pelayanan nya ramah sekali mantap belanja disini dapat stiker pula 👍👍👍,Lebih dari 1 tahun lalu,none
PI0104,Fantech Gaming Mouse X9 THOR Standart Macro,10,UI0061,G***g,5,berfungsi dengan baik.,Lebih dari 1 tahun lalu,none
PI0104,Fantech Gaming Mouse X9 THOR Standart Macro,11,UI0062,Pieter,5,Sesuai aplikasi!,Lebih dari 1 tahun lalu,none
PI0104,Fantech Gaming Mouse X9 THOR Standart Macro,12,UI0021,H***n,5,build quality oke,Lebih dari 1 tahun lalu,none
PI0104,Fantech Gaming Mouse X9 THOR Standart Macro,13,UI0063,Prabu,5,mantap barang nya sampai nya cepat,Lebih dari 1 tahun lalu,none
PI0104,Fantech Gaming Mouse X9 THOR Standart Macro,14,UI0064,R***a,5,bagus… dan cepat sampai,Lebih dari 1 tahun lalu,none
PI0104,Fantech Gaming Mouse X9 THOR Standart Macro,15,UI0065,devan,5,"fast respon, packing rapih, dibonusin sticker toko makasih🙏",Lebih dari 1 tahun lalu,none
PI0104,Fantech Gaming Mouse X9 THOR Standart Macro,16,UI0066,WILLIAM,5,mantappp👍,Lebih dari 1 tahun lalu,none
PI0104,Fantech Gaming Mouse X9 THOR Standart Macro,17,UI0067,Widi,5,Nyaman dan praktis tinggal plug and play. Ukuran mouse pas ditangan.. Best value mouse.,Lebih dari 1 tahun lalu,none
PI0104,Fantech Gaming Mouse X9 THOR Standart Macro,18,UI0068,Fajar,5,Nyaman dan praktis tinggal plug and play. Ukuran mouse pas ditangan.. Best value mouse.,Lebih dari 1 tahun lalu,none
PI0104,Fantech Gaming Mouse X9 THOR Standart Macro,19,UI0069,Hafis,5,none,Lebih dari 1 tahun lalu,none
PI0104,Fantech Gaming Mouse X9 THOR Standart Macro,20,UI0064,R***a,5,barangnya mantappp,Lebih dari 1 tahun lalu,none
PI0104,Fantech Gaming Mouse X9 THOR Standart Macro,21,UI0070,fajar,5,barang bagus pengiriman sangat cepat mantappp,Lebih dari 1 tahun lalu,none
PI0104,Fantech Gaming Mouse X9 THOR Standart Macro,22,UI0071,randy,5,"Pelayanan bgus, barang OK, semoga awet",Lebih dari 1 tahun lalu,none
PI0104,Fantech Gaming Mouse X9 THOR Standart Macro,23,UI0072,hans,4,okelah...............,Lebih dari 1 tahun lalu,none
PI0104,Fantech Gaming Mouse X9 THOR Standart Macro,24,UI0073,I***n,5,"Jos Gandos barang berfungsi mantap, pelayanan mantap, makasih",Lebih dari 1 tahun lalu,none
PI0104,Fantech Gaming Mouse X9 THOR Standart Macro,25,UI0074,Maylina,5,suka dan puas👍,Lebih dari 1 tahun lalu,none
PI0105,Logitech G733 Lightspeed - Wireless Gaming Headset - Hitam,1,UI0075,Kresna,4,"sound bagus, mic agak kurang suaranya. untuk yg pake kacamata agak mantul kelensa rbgnya pas di pake. sama scroll volume agak kasar kek plastik bergesekan gitu",3 minggu lalu,Varian: Hitam
PI0105,Logitech G733 Lightspeed - Wireless Gaming Headset - Hitam,2,UI0076,T***o,5,"Barang sudah di terima, respon dan pengiriman cepat, sound dan mic berfungsi dengan baik, dan dapat gantungan kunci. Terima kasih :)",4 bulan lalu,Varian: Putih
PI0105,Logitech G733 Lightspeed - Wireless Gaming Headset - Hitam,3,UI0036,A***i,5,Barang ori berfungsi dengan baik! Mantap!,4 bulan lalu,Varian: Putih
PI0105,Logitech G733 Lightspeed - Wireless Gaming Headset - Hitam,4,UI0077,Angga,4,"Keunggulan : 1. Desain keren 8/10 2. Koneksi No Delay 8,5/10 3. Noise Cancelling lumayan 7/10 4. DTS Sorround Sound 360 derajat mantap 8/10 Kekurangan : 1. Hati2 saat bu...",10 bulan lalu,Varian: Hitam
PI0105,Logitech G733 Lightspeed - Wireless Gaming Headset - Hitam,5,UI0009,M***M,5,mantap dah terbakk emg ggs 👌,Lebih dari 1 tahun lalu,Varian: Hitam
PI0105,Logitech G733 Lightspeed - Wireless Gaming Headset - Hitam,6,UI0078,Athala,5,"Packaging bagus, kualitas suara juga bagus ga lecet",Lebih dari 1 tahun lalu,Varian: Hitam
PI0105,Logitech G733 Lightspeed - Wireless Gaming Headset - Hitam,7,UI0079,Alvin,5,"suaranya sih oke tapi pas saya unboxing, kotak nya sudah robek. berharap kedrpannya ga akan kenapa napa.",Lebih dari 1 tahun lalu,Varian: Putih
PI0105,Logitech G733 Lightspeed - Wireless Gaming Headset - Hitam,8,UI0080,G***t,5,emg GGS ga pernah salah,Lebih dari 1 tahun lalu,Varian: Hitam
PI0105,Logitech G733 Lightspeed - Wireless Gaming Headset - Hitam,9,UI0081,Alfonsus,5,Top notch! Thank you GoodGamingShop!!🔥🔥👍,Lebih dari 1 tahun lalu,Varian: Putih
PI0105,Logitech G733 Lightspeed - Wireless Gaming Headset - Hitam,10,UI0060,Muhammad,5,mantap,Lebih dari 1 tahun lalu,Varian: Hitam
PI0105,Logitech G733 Lightspeed - Wireless Gaming Headset - Hitam,11,UI0082,Nixon,5,"mantap jiwa berfungsi dgn baik, cuma ini ga dapet pouch jd susah buat dibawa2",Lebih dari 1 tahun lalu,Varian: Putih
PI0105,Logitech G733 Lightspeed - Wireless Gaming Headset - Hitam,12,UI0083,Adam,5,Barang sesuai dan ori pastinya. Semoga awet! Dan dpt bonus botol sama emas 😍,Lebih dari 1 tahun lalu,Varian: Hitam
PI0105,Logitech G733 Lightspeed - Wireless Gaming Headset - Hitam,13,UI0084,P***u,5,"Barang sampai dengan selamat, sudah di test semua di software G hub, normal semua 👍🏻👍🏻",Lebih dari 1 tahun lalu,Varian: Putih
PI0105,Logitech G733 Lightspeed - Wireless Gaming Headset - Hitam,14,UI0085,D***y,4,"Barang bagus, tapi barang sampai tidak sesuai dengan yang dijanjikan",Lebih dari 1 tahun lalu,Varian: Putih
PI0105,Logitech G733 Lightspeed - Wireless Gaming Headset - Hitam,15,UI0086,W***m,5,Best value headset,Lebih dari 1 tahun lalu,Varian: Putih
PI0105,Logitech G733 Lightspeed - Wireless Gaming Headset - Hitam,16,UI0087,Sigit,3,"Barang sesuai deskripsi, garansi aman dan masuk registrasi Logitech Indonesia, cuman agak kurang kenapa segel sudah terbuka, sehingga kesan unboxing berkurang. Sekian, m...",Lebih dari 1 tahun lalu,Varian: Putih
PI0105,Logitech G733 Lightspeed - Wireless Gaming Headset - Hitam,17,UI0060,Muhammad,5,Puas pokoknye belanje di GGS mah.,Lebih dari 1 tahun lalu,Varian: Hitam
